sport,competition,event_name,event_date,neutral_venue,market,selection,odds,status,selection_result,team_1_goals,team_2_goals
football,world cup,Brazil v Norway,05/07/2026,yes,Full Time Result,Brazil,1.75,Complete,Lose,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Full Time Result,Norway,4.75,Complete,Win,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Full Time Result,Draw,3.7,Complete,Lose,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,To Qualify,Brazil,1.36,Complete,Lose,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,To Qualify,Norway,3.2,Complete,Win,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Double Chance,Brazil or Draw,1.18,Complete,Lose,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Double Chance,Draw or Norway,2.0,Complete,Win,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Double Chance,Brazil or Norway,1.28,Complete,Win,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Goals Over/Under,Over 2.5,1.66,Complete,Win,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,Goals Over/Under,Under 2.5,2.2,Complete,Lose,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,BTTS,Yes,1.61,Complete,Win,1,2
football,world cup,Brazil v Norway,05/07/2026,yes,BTTS,No,2.2,Complete,Lose,1,2
football,world cup,Mexico v England,06/07/2026,no,Full Time Result,Mexico,3.0,Complete,Lose,2,3
football,world cup,Mexico v England,06/07/2026,no,Full Time Result,England,2.6,Complete,Win,2,3
football,world cup,Mexico v England,06/07/2026,no,Full Time Result,Draw,3.0,Complete,Lose,2,3
football,world cup,Mexico v England,06/07/2026,no,To Qualify,Mexico,2.0,Complete,Lose,2,3
football,world cup,Mexico v England,06/07/2026,no,To Qualify,England,1.8,Complete,Win,2,3
football,world cup,Mexico v England,06/07/2026,no,Double Chance,Mexico or Draw,1.5,Complete,Lose,2,3
football,world cup,Mexico v England,06/07/2026,no,Double Chance,Draw or England,1.36,Complete,Win,2,3
football,world cup,Mexico v England,06/07/2026,no,Double Chance,Mexico or England,1.36,Complete,Win,2,3
football,world cup,Mexico v England,06/07/2026,no,Goals Over/Under,Over 2.5,2.5,Complete,Win,2,3
football,world cup,Mexico v England,06/07/2026,no,Goals Over/Under,Under 2.5,1.53,Complete,Lose,2,3
football,world cup,Mexico v England,06/07/2026,no,BTTS,Yes,2.05,Complete,Win,2,3
football,world cup,Mexico v England,06/07/2026,no,BTTS,No,1.7,Complete,Lose,2,3
football,world cup,Portugal v Spain,06/07/2026,yes,Full Time Result,Portugal,4.1,Pending,,,
